meter_label,account_number,label,zone,parent_meter,type,jan_25,feb_25,mar_25,apr_25,may_25,jun_25,jul_25
"Irrigation Tank 04 - (Z08)","4300294","DC","Direct Connection","Main Bulk (NAMA)","IRR_Services",0,0,0,0,0,0,1
"Building (Security)","4300297","DC","Direct Connection","Main Bulk (NAMA)","MB_Common",17,18,13,16,16,13,19
"Building (ROP)","4300299","DC","Direct Connection","Main Bulk (NAMA)","MB_Common",23,21,19,20,20,17,22
"Irrigation Tank 01 (Inlet)","4300323","DC","Direct Connection","Main Bulk (NAMA)","IRR_Services",0,0,0,0,2,0,1
"Hotel Main Building","4300334","DC","Direct Connection","Main Bulk (NAMA)","Retail",18048,19482,22151,27676,26963,17379,14713
"Community Mgmt - Technical Zone, STP","4300336","DC","Direct Connection","Main Bulk (NAMA)","MB_Common",29,37,25,35,29,53,50
"PHASE 02, MAIN ENTRANCE (Infrastructure)","4300338","DC","Direct Connection","Main Bulk (NAMA)","MB_Common",11,8,6,7,6,6,7
"Irrigation- Controller UP","4300340","DC","Direct Connection","Main Bulk (NAMA)","IRR_Services",0,0,0,1000,313,491,554
"Irrigation- Controller DOWN","4300341","DC","Direct Connection","Main Bulk (NAMA)","IRR_Services",159,239,283,411,910,511,611
"Al Adrak Camp","4300348","DC","Direct Connection","Main Bulk (NAMA)","Retail",1038,702,1161,1000,1228,1015,972
"Main Bulk (NAMA)","C43659","L1","Main Bulk","NAMA","Main Bulk",32580,44043,34915,46039,58425,41840,41475
"ZONE FM ( BULK ZONE FM )","4300346","L2","Zone_01_(FM)","Main Bulk (NAMA)","Zone Bulk",2008,1740,1880,1880,1693,1659,1974
"ZONE 3A (Bulk Zone 3A)","4300343","L2","Zone_03_(A)","Main Bulk (NAMA)","Zone Bulk",4235,4273,3591,4041,4898,6484,6026
"ZONE 3B (Bulk Zone 3B)","4300344","L2","Zone_03_(B)","Main Bulk (NAMA)","Zone Bulk",3256,2962,3331,2157,3093,3231,3243
"ZONE 5 (Bulk Zone 5)","4300345","L2","Zone_05","Main Bulk (NAMA)","Zone Bulk",4267,4231,3862,3737,3849,4116,3497
"ZONE 8 (Bulk Zone 8)","4300342","L2","Zone_08","Main Bulk (NAMA)","Zone Bulk",1547,1498,2605,3203,2937,3142,3542
"Sales Center Common Building","4300295","L2","Zone_SC","Main Bulk (NAMA)","Zone Bulk",76,68,37,67,63,55,60
"Village Square (Zone Bulk)","4300335","L2","Zone_VS","Main Bulk (NAMA)","Zone Bulk",14,12,21,13,21,19,60
"Z8-11","4300023","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,1,0,0,0,0,0
"Z8-13","4300024","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,1,229
"Z8-1","4300188","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",1,2,3,16,7,0,2
"Z8-2","4300189","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,0,0
"Z8-3","4300190","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,0,0
"Z8-4","4300191","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,0,0
"Z8-6","4300192","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",1,0,0,0,0,0,0
"Z8-7","4300193","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,0,0
"Z8-8","4300194","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,0,0
"Z8-10","4300195","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,0,0
"Z8-12","4300196","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",236,192,249,267,295,386,466
"Z8-14","4300197","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",0,0,0,0,0,0,0
"Z8-15","4300198","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",99,61,70,125,112,121,123
"Z8-16","4300199","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",67,72,54,98,95,79,132
"Z8-17","4300200","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",164,162,171,207,238,211,192
"Z8-5","4300287","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",208,341,313,336,325,236,224
"Z8-9","4300288","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",5,12,5,4,6,3,1
"Z8-18","4300289","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",122,111,336,0,679,362,244
"Z8-19","4300290","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",104,87,231,0,513,255,195
"Z8-20","4300291","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",146,110,312,0,579,94,117
"Z8-21","4300292","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",99,72,276,0,393,115,60
"Z8-22","4300293","L3","Zone_08","ZONE 8 (Bulk Zone 8)","Residential (Villa)",225,156,336,0,806,265,105